"id_number","id_label","hatchery","run","region","group","lon","lat","fishery","year","sex","age","length","source"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",5,900,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",5,940,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",5,900,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",5,900,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",5,900,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",5,910,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",5,940,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",5,840,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",5,970,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",5,950,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",5,950,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",5,850,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",5,910,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",5,920,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",5,860,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",4,800,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",4,820,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",4,820,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",4,820,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",4,860,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2001,"Female",4,850,"cwt"
