"id_number","id_label","hatchery","run","release","region","subregion","group","lon","lat","year","females_spawned","fecundity","source"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,1996,65,4164.61538461538,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,1997,142,4744.01408450704,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,1998,145,4248.27586206897,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,1999,118,3703.38983050847,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2000,59,4440.6779661017,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2001,52,3769.23076923077,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2002,159,3723.27044025157,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2003,157,3817.83439490446,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2004,146,4216.43835616438,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2005,97,4225,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2006,196,3367.34693877551,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2007,176,3551.13636363636,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2008,82,3926.82926829268,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2009,41,3707.31707317073,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2010,126,4682.46825396825,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2011,164,3630.98170731707,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2012,174,3562.72413793103,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2013,97,3707.25773195876,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2014,195,3411.02564102564,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2015,167,3525.74850299401,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2016,97,3041.32989690722,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2017,217,2516.12903225806,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2018,207,2798.91304347826,"wdfw"
3,"Humptulips Fall","Humptulips","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.989283160066,47.2332544223327,2019,200,2895,"wdfw"
4,"Lk Aberdeen Fall","Lk Aberdeen","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.742941032501,46.9802823216864,1996,32,3750,"wdfw"
4,"Lk Aberdeen Fall","Lk Aberdeen","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.742941032501,46.9802823216864,1997,17,4176.47058823529,"wdfw"
4,"Lk Aberdeen Fall","Lk Aberdeen","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.742941032501,46.9802823216864,1998,20,4150,"wdfw"
4,"Lk Aberdeen Fall","Lk Aberdeen","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.742941032501,46.9802823216864,1999,22,4431.81818181818,"wdfw"
4,"Lk Aberdeen Fall","Lk Aberdeen","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.742941032501,46.9802823216864,2002,15,4267,"wdfw"
4,"Lk Aberdeen Fall","Lk Aberdeen","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.742941032501,46.9802823216864,2005,21,4404.7619047619,"wdfw"
4,"Lk Aberdeen Fall","Lk Aberdeen","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.742941032501,46.9802823216864,2006,49,4459.18367346939,"wdfw"
4,"Lk Aberdeen Fall","Lk Aberdeen","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.742941032501,46.9802823216864,2007,21,4452.38095238095,"wdfw"
4,"Lk Aberdeen Fall","Lk Aberdeen","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.742941032501,46.9802823216864,2008,14,4428.57142857143,"wdfw"
4,"Lk Aberdeen Fall","Lk Aberdeen","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.742941032501,46.9802823216864,2014,26,3980.76923076923,"wdfw"
4,"Lk Aberdeen Fall","Lk Aberdeen","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.742941032501,46.9802823216864,2017,21,4880.95238095238,"wdfw"
4,"Lk Aberdeen Fall","Lk Aberdeen","Fall","subyearling","Coast","Grays Harbor","Coast Fall",-123.742941032501,46.9802823216864,2018,99,3636.36363636364,"wdfw"
5,"Naselle Fall","Naselle","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.753138578261,46.3722875106948,1995,1090,3833.94495412844,"wdfw"
5,"Naselle Fall","Naselle","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.753138578261,46.3722875106948,1996,756,3703.7037037037,"wdfw"
5,"Naselle Fall","Naselle","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.753138578261,46.3722875106948,1997,1499,4498.33222148099,"wdfw"
5,"Naselle Fall","Naselle","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.753138578261,46.3722875106948,1998,469,4264.39232409382,"wdfw"
5,"Naselle Fall","Naselle","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.753138578261,46.3722875106948,1999,354,4002.82485875706,"wdfw"
5,"Naselle Fall","Naselle","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.753138578261,46.3722875106948,2000,611,4495.90834697218,"wdfw"
5,"Naselle Fall","Naselle","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.753138578261,46.3722875106948,2001,614,4004.88599348534,"wdfw"
5,"Naselle Fall","Naselle","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.753138578261,46.3722875106948,2002,753,4460.82337317397,"wdfw"
5,"Naselle Fall","Naselle","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.753138578261,46.3722875106948,2003,230,4695.65217391304,"wdfw"
5,"Naselle Fall","Naselle","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.753138578261,46.3722875106948,2004,661,4042.36006051437,"wdfw"
5,"Naselle Fall","Naselle","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.753138578261,46.3722875106948,2005,798,4005.01253132832,"wdfw"
5,"Naselle Fall","Naselle","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.753138578261,46.3722875106948,2006,1283,4190.95869056898,"wdfw"
5,"Naselle Fall","Naselle","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.753138578261,46.3722875106948,2007,677,4101.92023633678,"wdfw"
5,"Naselle Fall","Naselle","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.753138578261,46.3722875106948,2008,627,4202.55183413078,"wdfw"
5,"Naselle Fall","Naselle","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.753138578261,46.3722875106948,2009,472,3898.30508474576,"wdfw"
5,"Naselle Fall","Naselle","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.753138578261,46.3722875106948,2015,72,3634.02777777778,"wdfw"
5,"Naselle Fall","Naselle","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.753138578261,46.3722875106948,2016,539,3366.9758812616,"wdfw"
5,"Naselle Fall","Naselle","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.753138578261,46.3722875106948,2018,697,2954.80631276901,"wdfw"
6,"Nemah Fall","Nemah","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.84117268643,46.5030183665091,1995,248,4032.25806451613,"wdfw"
6,"Nemah Fall","Nemah","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.84117268643,46.5030183665091,1996,446,4112.10762331839,"wdfw"
